from,to
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Marie_Eleonore_Emilie_Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Marie_Eleonore_Emilie_Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Marie_Eleonore_Emilie_Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Marie_Eleonore_Emilie_Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Marie_Eleonore_Emilie_Koestritz
August_Hermann_Francke,Marie_Eleonore_Emilie_Koestritz
August_Hermann_Francke,Marie_Eleonore_Emilie_Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Heinrich_XXIV._Koestritz
August_Hermann_Francke,Hermann_Burkhart_Rosler
August_Hermann_Francke,Hermann_Burkhart_Rosler
Albertine_geb._Stolberg-Werniger9999e,Sophie_Elisabeth_Untergreiz
Albrecht_Friedrich_von_Syburg_(Konsistorialrat_in_Greiz),Heinrich_XXIV._Koestritz
Albrecht_Friedrich_von_Syburg_(Konsistorialrat_in_Greiz),Heinrich_XXIV._Koestritz
Albrecht_Friedrich_von_Syburg_(Konsistorialrat_in_Greiz),Heinrich_XXIV._Koestritz
Albrecht_Friedrich_von_Syburg_(Konsistorialrat_in_Greiz),Heinrich_Julius_Elers
Albrecht_Friedrich_von_Syburg_(Konsistorialrat_in_Greiz),Heinrich_Julius_Elers
Albrecht_Friedrich_von_Syburg_(Konsistorialrat_in_Greiz),Heinrich_Julius_Elers
Amtmann_Schroeter,Heinrich_XXIV._Koestritz
Amtmann_Schroeter,Heinrich_XXIV._Koestritz
Andreas_Christlieb_Vogel_(Informator_in_Obergreiz),August_Hermann_Francke
Andreas_Haensel,Heinrich_XXIV._Koestritz
Andreas_Haensel,Heinrich_XXIV._Koestritz
Andreas_Haensel,Heinrich_XXIV._Koestritz
Andreas_Schmidt_(Prediger),Heinrich_XXIV._Koestritz
Andreas_Stengel,Heinrich_XXIV._Koestritz
Andreas_Stengel,Heinrich_XXIV._Koestritz
Andreas_Stengel,Heinrich_XXIV._Koestritz
Andreas_Stengel,Heinrich_XXIV._Koestritz
Andreas_Stengel,Heinrich_XXIV._Koestritz
Andreas_Stengel,Hermann_Burkhart_Rosler
Angnesa_v._Metzsch,August_Hermann_Francke
Anna_Helena_Henriette_Henckel_v._Donnersmarck,Johann_Christoph_Orlich
Anna_Helena_Henriette_Henckel_v._Donnersmarck_,Johann_Christoph_Orlich
Anna_Magdalena_Francke,Marie_Eleonore_Emilie_Koestritz
Anna_Sophia_Schwarzburg-Rudolstadt,Erdmuthe_Benigna_Ebersdorf
Anton_von_Geusau,Nikolaus_Ludwig_Zinzendorf
Anton_von_Geusau,August_Hermann_Francke
Anton_von_Geusau,August_Hermann_Francke
Anton_von_Geusau,August_Hermann_Francke
Anton_von_Geusau,August_Hermann_Francke
Anton_von_Geusau,August_Hermann_Francke
Anton_von_Geusau,Hofmeister_Cellarius_(Koestritz)
Anton_von_Geusau,Hofmeister_Cellarius_(Koestritz)
Anton_von_Geusau,Hofmeister_Cellarius_(Koestritz)
Anton_von_Geusau,Hofmeister_Cellarius_(Koestritz)
Anton_von_Geusau,Hofmeister_Cellarius_(Koestritz)
Anton_von_Geusau,Hofmeister_Cellarius_(Koestritz)
Anton_von_Geusau,Heinrich_XXIV._Koestritz
Anton_von_Geusau,Marie_Eleonore_Emilie_Koestritz
Anton_Wilhelm_Boehme,Johann_Christoph_Cramer
Augusta_Margaretha_Menschlitzer_(Lobenstein),August_Hermann_Francke
Auguste_Dorothea_Schleiz,Nikolaus_Ludwig_Zinzendorf
Auguste_Dorothea_Schleiz,Marie_Eleonore_Emilie_Koestritz
Auguste_Dorothea_Schleiz,Sophie_Elisabeth_Untergreiz
Auguste_Dorothea_Schleiz,Sophie_Elisabeth_Untergreiz
Auguste_Dorothea_Schleiz,Sophie_Elisabeth_Untergreiz
Auguste_Dorothea_Schleiz,Sophie_Elisabeth_Untergreiz
Auguste_Dorothea_Schleiz,Sophie_Elisabeth_Untergreiz
Auguste_Dorothea_Schleiz,Sophie_Elisabeth_Untergreiz
Auguste_Dorothea_Schleiz,Sophie_Elisabeth_Untergreiz
Auguste_Dorothea_Schleiz,Sophie_Elisabeth_Untergreiz
Auguste_Dorothea_Schleiz,Sophie_Elisabeth_Untergreiz
Auguste_Dorothea_Schleiz,Sophie_Elisabeth_Untergreiz
Auguste_Dorothea_Schleiz,Sophie_Elisabeth_Untergreiz
Auguste_Dorothea_Schleiz,Sophie_Elisabeth_Untergreiz
Auguste_Dorothea_Schleiz,Sophie_Elisabeth_Untergreiz
Auguste_Dorothea_Schleiz,Sophie_Elisabeth_Untergreiz
Auguste_Dorothea_Schleiz,Sophie_Elisabeth_Untergreiz
Auguste_Dorothea_Schleiz,Sophie_Elisabeth_Untergreiz
Auguste_Dorothea_Schleiz,Sophie_Elisabeth_Untergreiz
Auguste_Dorothea_Schleiz,Sophie_Elisabeth_Untergreiz
Auguste_Dorothea_Schleiz,Sophie_Elisabeth_Untergreiz
Auguste_Dorothea_Schleiz,Sophie_Elisabeth_Untergreiz
Auguste_Dorothea_Schleiz,Sophie_Elisabeth_Untergreiz
Auguste_Dorothea_Schleiz,Sophie_Elisabeth_Untergreiz
Auguste_Dorothea_Schleiz,Sophie_Elisabeth_Untergreiz
Auguste_Dorothea_Schleiz,Sophie_Elisabeth_Untergreiz
Auguste_Dorothea_Schleiz,Sophie_Elisabeth_Untergreiz
Auguste_Dorothea_Schleiz,Sophie_Elisabeth_Untergreiz
Auguste_Dorothea_Schleiz,Sophie_Elisabeth_Untergreiz
Auguste_Dorothea_Schleiz,Sophie_Elisabeth_Untergreiz
Auguste_Dorothea_Schleiz,Sophie_Elisabeth_Untergreiz
Auguste_Dorothea_Schleiz,Sophie_Elisabeth_Untergreiz
Auguste_Dorothea_Schleiz,Sophie_Elisabeth_Untergreiz
Auguste_Dorothea_Schleiz,Sophie_Elisabeth_Untergreiz
Auguste_Dorothea_Schleiz,Sophie_Elisabeth_Untergreiz
Auguste_Dorothea_Schleiz,Sophie_Elisabeth_Untergreiz
Auguste_Dorothea_Schleiz,Sophie_Elisabeth_Untergreiz
Auguste_Dorothea_Schleiz,Sophie_Elisabeth_Untergreiz
Baldermuth,Marie_Eleonore_Emilie_Koestritz
Baldermuth,Marie_Eleonore_Emilie_Koestritz
Balthasar_Heinrich_Heintze_(Pfarrer),Heinrich_XXIV._Koestritz
Balthasar_Heinrich_Heintze_(Pfarrer),Heinrich_XXIV._Koestritz
Balthasar_Heinrich_Heintze_(Pfarrer),Heinrich_XXIV._Koestritz
Beate_Henriette_Lobenstein,Nikolaus_Ludwig_Zinzendorf
Beate_Henriette_Lobenstein,Nikolaus_Ludwig_Zinzendorf
Beate_Henriette_Lobenstein,August_Hermann_Francke
Beate_Henriette_Lobenstein,Ulrich_Bogislaus_v_Bonin
Benigna_Marie_Ebersdorf,Nikolaus_Ludwig_Zinzendorf
Benigna_Marie_Ebersdorf,Nikolaus_Ludwig_Zinzendorf
Benigna_Marie_Ebersdorf,Nikolaus_Ludwig_Zinzendorf
Benigna_Marie_Ebersdorf,Nikolaus_Ludwig_Zinzendorf
Benigna_Marie_Ebersdorf,Nikolaus_Ludwig_Zinzendorf
Benigna_Marie_Ebersdorf,Nikolaus_Ludwig_Zinzendorf
Benigna_Marie_Ebersdorf,Nikolaus_Ludwig_Zinzendorf
Benigna_Marie_Ebersdorf,Nikolaus_Ludwig_Zinzendorf
Benigna_Marie_Ebersdorf,Nikolaus_Ludwig_Zinzendorf
Benigna_Marie_Ebersdorf,Nikolaus_Ludwig_Zinzendorf
Benigna_Marie_Ebersdorf,Nikolaus_Ludwig_Zinzendorf
Benigna_Marie_Ebersdorf,Nikolaus_Ludwig_Zinzendorf
Benigna_Marie_Ebersdorf,Nikolaus_Ludwig_Zinzendorf
Benigna_Marie_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Christiane_Elisabeth_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Erdmuthe_Benigna_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Erdmuthe_Benigna_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Erdmuthe_Benigna_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Erdmuthe_Benigna_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Erdmuthe_Benigna_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Erdmuthe_Benigna_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Erdmuthe_Benigna_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Erdmuthe_Benigna_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Erdmuthe_Benigna_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Erdmuthe_Benigna_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Erdmuthe_Benigna_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Erdmuthe_Benigna_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Erdmuthe_Benigna_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Erdmuthe_Benigna_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Erdmuthe_Benigna_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Erdmuthe_Benigna_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Erdmuthe_Benigna_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Erdmuthe_Benigna_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Erdmuthe_Benigna_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Erdmuthe_Benigna_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Erdmuthe_Benigna_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Erdmuthe_Benigna_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Erdmuthe_Benigna_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Benigna_Marie_Ebersdorf,Nikolaus_Ludwig_Zinzendorf
Benigna_Marie_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Benigna_Marie_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Benigna_Marie_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Benigna_Marie_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
Benigna_Marie_Ebersdorf,Erdmuth_Dorothea_Zinzendorf_(geb._Reuss-Ebersdorf)
